Preference Vector (1/5): 1.0, 0.0
40/100: weights=[0.7927226 1.2072774], train_loss=[0.5846092  0.40352422], train_acc=[0.7836     0.85070833], test_loss=[0.6534973 0.5380373], test_acc=[0.7591 0.8099]
41/100: weights=[0.6545663 1.3454337], train_loss=[0.5853398 0.3995998], train_acc=[0.78348333 0.85308333], test_loss=[0.65337193 0.53446776], test_acc=[0.7579 0.8089]
42/100: weights=[0.81704956 1.1829505 ], train_loss=[0.58338994 0.4030956 ], train_acc=[0.78318333 0.85145833], test_loss=[0.6523437  0.54155266], test_acc=[0.7586 0.8086]
43/100: weights=[0.2644887 1.7355114], train_loss=[0.58799845 0.3998811 ], train_acc=[0.77990833 0.853225  ], test_loss=[0.65882653 0.5373374 ], test_acc=[0.75495 0.80885]
44/100: weights=[0.70020497 1.2997952 ], train_loss=[0.5853136 0.4019066], train_acc=[0.7825     0.85068333], test_loss=[0.6569185 0.5421486], test_acc=[0.75675 0.80475]
45/100: weights=[0.5617701 1.4382298], train_loss=[0.57687676 0.3927869 ], train_acc=[0.786025 0.85555 ], test_loss=[0.64790446 0.53271097], test_acc=[0.75875 0.8109 ]
46/100: weights=[0.5347096 1.4652904], train_loss=[0.5771419 0.3904979], train_acc=[0.78661667 0.85660833], test_loss=[0.6476092 0.5317935], test_acc=[0.7602  0.80955]
47/100: weights=[0.36460042 1.6353996 ], train_loss=[0.58290464 0.3918998 ], train_acc=[0.782975   0.85526667], test_loss=[0.6556215  0.53513616], test_acc=[0.759   0.81055]
48/100: weights=[0.49209002 1.50791   ], train_loss=[0.57503307 0.38967064], train_acc=[0.78653333 0.85709167], test_loss=[0.6459261 0.5317454], test_acc=[0.76035 0.8112 ]
49/100: weights=[0.7103359 1.289664 ], train_loss=[0.5783103 0.3924995], train_acc=[0.78520833 0.85525833], test_loss=[0.6507362  0.53569764], test_acc=[0.75945 0.8107 ]
