Preference Vector (1/5): 1.0, 0.0
89/100: weights=[0.39832735 1.6016725 ], train_loss=[0.68225527 0.2566937 ], train_acc=[0.77399167 0.9061    ], test_loss=[0.6846024 0.4331728], test_acc=[0.76905 0.85135]
90/100: weights=[0.26045963 1.7395405 ], train_loss=[0.6814219  0.25586236], train_acc=[0.77473333 0.90605   ], test_loss=[0.6832671  0.43277273], test_acc=[0.76925 0.85155]
91/100: weights=[0.21028873 1.7897114 ], train_loss=[0.6819781  0.25563216], train_acc=[0.77429167 0.90619167], test_loss=[0.6842025  0.43237123], test_acc=[0.76945 0.852  ]
92/100: weights=[0.23929285 1.7607073 ], train_loss=[0.68202746 0.25575593], train_acc=[0.774275   0.90623333], test_loss=[0.684347   0.43265495], test_acc=[0.7693 0.8511]
93/100: weights=[0.3093129 1.6906871], train_loss=[0.6813222 0.2556531], train_acc=[0.77430833 0.90600833], test_loss=[0.68346804 0.4328425 ], test_acc=[0.76945 0.85135]
94/100: weights=[0.36456978 1.6354303 ], train_loss=[0.6801609  0.25585264], train_acc=[0.77485 0.90615], test_loss=[0.6822447 0.4336684], test_acc=[0.7703 0.8503]
95/100: weights=[0.23087153 1.7691284 ], train_loss=[0.67966956 0.25607705], train_acc=[0.77565833 0.90575833], test_loss=[0.68139255 0.43360245], test_acc=[0.76945 0.852  ]
96/100: weights=[0.45566076 1.5443392 ], train_loss=[0.6814078  0.25547892], train_acc=[0.77456667 0.90611667], test_loss=[0.6834534  0.43330142], test_acc=[0.76965 0.85115]
97/100: weights=[0.06153825 1.9384617 ], train_loss=[0.6788838  0.25573206], train_acc=[0.77608333 0.90609167], test_loss=[0.68120205 0.43376455], test_acc=[0.76955 0.85125]
98/100: weights=[0.23682125 1.7631787 ], train_loss=[0.6798435  0.25511026], train_acc=[0.77545833 0.90651667], test_loss=[0.6820349  0.43310606], test_acc=[0.77065 0.8514 ]
99/100: weights=[0.15077303 1.849227  ], train_loss=[0.6810515  0.25551385], train_acc=[0.77514167 0.90604167], test_loss=[0.68350685 0.43467462], test_acc=[0.7694 0.851 ]
100/100: weights=[0.10252884 1.8974712 ], train_loss=[0.6797964  0.25494576], train_acc=[0.77495833 0.90626667], test_loss=[0.6821187 0.4329764], test_acc=[0.77035 0.85145]
Preference Vector (2/5): 0.9238795, 0.38268343
1/100: weights=[1.1831146 0.8168854], train_loss=[1.2302606  0.90909123], train_acc=[0.58890833 0.66279167], test_loss=[1.1982036 0.9236962], test_acc=[0.5989 0.6613]
2/100: weights=[0.43335322 1.5666467 ], train_loss=[0.901511   0.67005813], train_acc=[0.69436667 0.7479    ], test_loss=[0.8873034 0.6907042], test_acc=[0.69765 0.7408 ]
3/100: weights=[0.2638534 1.7361465], train_loss=[0.889283   0.61123294], train_acc=[0.69983333 0.77493333], test_loss=[0.8819468 0.6372147], test_acc=[0.70375 0.76755]
4/100: weights=[-0.3077102  1.6922898], train_loss=[0.8273138  0.57057637], train_acc=[0.7191     0.78819167], test_loss=[0.8147944  0.60076517], test_acc=[0.7244  0.77925]
5/100: weights=[0.6127652 1.3872348], train_loss=[0.6827001  0.54004246], train_acc=[0.7731     0.79986667], test_loss=[0.66644955 0.5757735 ], test_acc=[0.776  0.7878]
6/100: weights=[0.2779353 1.7220646], train_loss=[0.7285641 0.5255705], train_acc=[0.75593333 0.80425833], test_loss=[0.716087  0.5609552], test_acc=[0.76165 0.7926 ]
7/100: weights=[-0.17834476  1.8216554 ], train_loss=[0.72348005 0.4990755 ], train_acc=[0.75855  0.812875], test_loss=[0.7076386 0.5442419], test_acc=[0.76485 0.7986 ]
8/100: weights=[0.28523222 1.7147678 ], train_loss=[0.7345145 0.4897101], train_acc=[0.75574167 0.81719167], test_loss=[0.71954674 0.5372074 ], test_acc=[0.75775 0.801  ]
9/100: weights=[0.39036706 1.609633  ], train_loss=[0.7121944  0.48519897], train_acc=[0.763775 0.818375], test_loss=[0.69978034 0.5325624 ], test_acc=[0.76535 0.8062 ]
10/100: weights=[0.05804036 1.9419596 ], train_loss=[0.71645904 0.47832203], train_acc=[0.76229167 0.82170833], test_loss=[0.6997358 0.5336969], test_acc=[0.76225 0.80705]
11/100: weights=[0.32209778 1.6779022 ], train_loss=[0.6989706  0.46545535], train_acc=[0.76798333 0.82330833], test_loss=[0.6883293 0.5190183], test_acc=[0.76445 0.8082 ]
