Preference Vector (1/5): 1.0, 0.0
29/100: weights=[0.18742163 1.8125784 ], train_loss=[0.33383256 0.2246354 ], train_acc=[0.89109167 0.92344167], test_loss=[0.3626859  0.31870005], test_acc=[0.88195 0.8961 ]
30/100: weights=[0.83121663 1.1687833 ], train_loss=[0.32118034 0.22311802], train_acc=[0.894575 0.923125], test_loss=[0.35281357 0.31986275], test_acc=[0.8875 0.8955]
31/100: weights=[0.46523488 1.5347651 ], train_loss=[0.3199601  0.21085088], train_acc=[0.89538333 0.9288    ], test_loss=[0.35642698 0.3118557 ], test_acc=[0.88565 0.8995 ]
32/100: weights=[0.10915379 1.8908464 ], train_loss=[0.31690645 0.212609  ], train_acc=[0.8964     0.92721667], test_loss=[0.35291582 0.3161317 ], test_acc=[0.88625 0.89835]
33/100: weights=[0.9168296 1.0831704], train_loss=[0.31783447 0.20681185], train_acc=[0.89595    0.93045833], test_loss=[0.35396725 0.3086571 ], test_acc=[0.8864  0.90045]
34/100: weights=[0.30232942 1.6976706 ], train_loss=[0.3231268  0.21299878], train_acc=[0.89443333 0.92744167], test_loss=[0.3563732 0.3145835], test_acc=[0.8851  0.89805]
35/100: weights=[0.3417955 1.6582044], train_loss=[0.313277   0.21215579], train_acc=[0.89803333 0.92725   ], test_loss=[0.34877193 0.31262314], test_acc=[0.88765 0.89845]
36/100: weights=[0.36596027 1.6340398 ], train_loss=[0.31152362 0.20750587], train_acc=[0.89816667 0.92854167], test_loss=[0.35009128 0.316474  ], test_acc=[0.88725 0.89885]
37/100: weights=[0.81722933 1.1827706 ], train_loss=[0.30727252 0.20853056], train_acc=[0.89928333 0.92929167], test_loss=[0.34360206 0.31479606], test_acc=[0.88845 0.89835]
38/100: weights=[0.5290435 1.4709566], train_loss=[0.3101448  0.20502597], train_acc=[0.89876667 0.930425  ], test_loss=[0.34571594 0.30957076], test_acc=[0.88865 0.90105]
39/100: weights=[0.38851786 1.6114823 ], train_loss=[0.31245852 0.21320365], train_acc=[0.8975     0.92694167], test_loss=[0.35066283 0.321311  ], test_acc=[0.88725 0.896  ]
40/100: weights=[0.37620512 1.6237949 ], train_loss=[0.30774266 0.20388725], train_acc=[0.89969167 0.9309    ], test_loss=[0.3472112  0.31258687], test_acc=[0.88855 0.89935]
41/100: weights=[0.31826553 1.6817346 ], train_loss=[0.3048309  0.20761652], train_acc=[0.90025833 0.92875   ], test_loss=[0.34502253 0.3186307 ], test_acc=[0.88855 0.8985 ]
42/100: weights=[0.5892496 1.4107505], train_loss=[0.3024192  0.20172091], train_acc=[0.90073333 0.93165   ], test_loss=[0.34420666 0.31322128], test_acc=[0.88965 0.8982 ]
43/100: weights=[0.39235616 1.6076438 ], train_loss=[0.30473033 0.20117047], train_acc=[0.90011667 0.931075  ], test_loss=[0.3460238 0.3118393], test_acc=[0.8885  0.89875]
44/100: weights=[0.6131798 1.3868202], train_loss=[0.30511472 0.20096125], train_acc=[0.90021667 0.93195   ], test_loss=[0.34483358 0.31628275], test_acc=[0.8889  0.89925]
45/100: weights=[0.71600246 1.2839975 ], train_loss=[0.29820064 0.19337107], train_acc=[0.902375   0.93506667], test_loss=[0.34235117 0.30846146], test_acc=[0.89055 0.9018 ]
46/100: weights=[0.815569  1.1844311], train_loss=[0.2966606  0.19663094], train_acc=[0.90293333 0.93296667], test_loss=[0.3407382 0.3158475], test_acc=[0.89025 0.90005]
47/100: weights=[0.7594592 1.2405409], train_loss=[0.29460818 0.19149838], train_acc=[0.90366667 0.935625  ], test_loss=[0.3390698  0.31116983], test_acc=[0.89085 0.90175]
48/100: weights=[0.4679333 1.5320666], train_loss=[0.29376715 0.19527867], train_acc=[0.90383333 0.93343333], test_loss=[0.33816946 0.31416574], test_acc=[0.89085 0.8996 ]
